No,Name,Type 1,Type 2
#0001,Bulbasaur,Grass,Poison
#0002,Ivysaur,Grass,Poison
#0003,Venusaur,Grass,Poison
#0004,Charmander,Fire,None
#0005,Charmeleon,Fire,None
#0006,Charizard,Fire,Flying
#0007,Squirtle,Water,None
#0008,Wartortle,Water,None
#0009,Blastoise,Water,None
#0010,Caterpie,Bug,None
#0011,Metapod,Bug,None
#0012,Butterfree,Bug,Flying
#0013,Weedle,Bug,Poison
#0014,Kakuna,Bug,Poison
#0015,Beedrill,Bug,Poison
#0016,Pidgey,Normal,Flying
#0017,Pidgeotto,Normal,Flying
#0018,Pidgeot,Normal,Flying
#0019,Rattata,Normal,None
#0020,Raticate,Normal,None
#0021,Spearow,Normal,Flying
#0022,Fearow,Normal,Flying
#0023,Ekans,Poison,None
#0024,Arbok,Poison,None
#0025,Pikachu,Electric,None
#0026,Raichu,Electric,None
#0027,Sandshrew,Ground,None
#0028,Sandslash,Ground,None
#0029,Nidoran♀,Poison,None
#0030,Nidorina,Poison,None
#0031,Nidoqueen,Poison,Ground
#0032,Nidoran♂,Poison,None
#0033,Nidorino,Poison,None
#0034,Nidoking,Poison,Ground
#0035,Clefairy,Fairy,None
#0036,Clefable,Fairy,None
#0037,Vulpix,Fire,None
#0038,Ninetales,Fire,None
#0039,Jigglypuff,Normal,Fairy
#0040,Wigglytuff,Normal,Fairy
#0041,Zubat,Poison,Flying
#0042,Golbat,Poison,Flying
#0043,Oddish,Grass,Poison
#0044,Gloom,Grass,Poison
#0045,Vileplume,Grass,Poison
#0046,Paras,Bug,Grass
#0047,Parasect,Bug,Grass
#0048,Venonat,Bug,Poison
#0049,Venomoth,Bug,Poison
#0050,Diglett,Ground,None
#0051,Dugtrio,Ground,None
#0052,Meowth,Normal,None
#0053,Persian,Normal,None
#0054,Psyduck,Water,None
#0055,Golduck,Water,None
#0056,Mankey,Fighting,None
#0057,Primeape,Fighting,None
#0058,Growlithe,Fire,None
#0059,Arcanine,Fire,None
#0060,Poliwag,Water,None
#0061,Poliwhirl,Water,None
#0062,Poliwrath,Water,Fighting
#0063,Abra,Psychic,None
#0064,Kadabra,Psychic,None
#0065,Alakazam,Psychic,None
#0066,Machop,Fighting,None
#0067,Machoke,Fighting,None
#0068,Machamp,Fighting,None
#0069,Bellsprout,Grass,Poison
#0070,Weepinbell,Grass,Poison
#0071,Victreebel,Grass,Poison
#0072,Tentacool,Water,Poison
#0073,Tentacruel,Water,Poison
#0074,Geodude,Rock,Ground
#0075,Graveler,Rock,Ground
#0076,Golem,Rock,Ground
#0077,Ponyta,Fire,None
#0078,Rapidash,Fire,None
#0079,Slowpoke,Water,Psychic
#0080,Slowbro,Water,Psychic
